Epochs,Validation Scores,Validation Running Scores,Train Loss
0,0.3985625463724136,,
1,0.42163654088974,,
2,0.48897969186306,,
3,0.5216090816259384,,
4,0.5690431725978852,,
5,0.5889765572547913,,
6,0.6278428328037262,,
7,0.6159572124481201,,
0,,0.3985625463724136,
1,,0.42163654088974,
2,,0.48897969186306,
3,,0.5216090816259384,
4,,0.5690431725978852,
5,,0.5889765572547913,
6,,0.6278428328037262,
7,,0.6159572124481201,
0,,,0.2288873264193535
1,,,0.13056276470422745
2,,,0.08053390255570411
3,,,0.05212288610637188
4,,,0.03733928434550762
5,,,0.03105641846358776
6,,,0.027815400421619417
7,,,0.01999231652915478
