Epochs,Validation Scores,Validation Running Scores,Train
0,14.375,,
1,15.9375,,
2,18.75,,
3,20.625,,
4,33.75,,
5,29.375,,
6,35.9375,,
7,35.9375,,
8,35.9375,,
9,43.125,,
10,42.5,,
11,51.5625,,
12,49.375,,
13,45.3125,,
14,49.375,,
15,48.4375,,
16,43.4375,,
17,55.3125,,
18,45.625,,
19,49.0625,,
20,49.375,,
21,58.4375,,
22,53.4375,,
23,50.9375,,
24,59.6875,,
25,63.4375,,
26,60.9375,,
27,69.375,,
28,62.1875,,
29,61.25,,
30,59.375,,
31,67.8125,,
32,64.6875,,
33,73.75,,
34,56.875,,
35,71.5625,,
36,67.5,,
37,61.875,,
38,73.125,,
39,73.125,,
40,77.1875,,
41,77.8125,,
42,75.9375,,
43,76.875,,
44,77.5,,
45,79.0625,,
46,76.5625,,
47,77.1875,,
48,78.125,,
49,75.9375,,
50,70.625,,
51,72.1875,,
52,81.25,,
53,80.625,,
54,82.5,,
55,83.4375,,
56,81.5625,,
57,83.75,,
58,81.875,,
59,82.8125,,
60,82.1875,,
61,82.5,,
62,81.5625,,
63,82.1875,,
64,81.875,,
65,83.125,,
66,85.3125,,
67,85.3125,,
68,84.0625,,
69,84.6875,,
70,84.0625,,
71,86.25,,
72,73.75,,
73,76.25,,
74,63.75,,
75,68.75,,
76,72.1875,,
77,63.75,,
78,72.1875,,
79,71.25,,
80,81.5625,,
81,75.0,,
82,84.6875,,
83,81.5625,,
84,79.375,,
85,81.875,,
86,79.0625,,
87,75.625,,
88,82.8125,,
0,,14.375,
1,,15.9375,
2,,18.75,
3,,20.625,
4,,33.75,
5,,29.375,
6,,35.9375,
7,,35.9375,
8,,35.9375,
9,,43.125,
10,,42.5,
11,,51.5625,
12,,49.375,
13,,45.3125,
14,,49.375,
15,,48.4375,
16,,43.4375,
17,,55.3125,
18,,45.625,
19,,49.0625,
20,,49.375,
21,,58.4375,
22,,53.4375,
23,,50.9375,
24,,59.6875,
25,,63.4375,
26,,60.9375,
27,,69.375,
28,,62.1875,
29,,61.25,
30,,59.375,
31,,67.8125,
32,,64.6875,
33,,73.75,
34,,56.875,
35,,71.5625,
36,,67.5,
37,,61.875,
38,,73.125,
39,,73.125,
40,,77.1875,
41,,77.8125,
42,,75.9375,
43,,76.875,
44,,77.5,
45,,79.0625,
46,,76.5625,
47,,77.1875,
48,,78.125,
49,,75.9375,
50,,70.625,
51,,72.1875,
52,,81.25,
53,,80.625,
54,,82.5,
55,,83.4375,
56,,81.5625,
57,,83.75,
58,,81.875,
59,,82.8125,
60,,82.1875,
61,,82.5,
62,,81.5625,
63,,82.1875,
64,,81.875,
65,,83.125,
66,,85.3125,
67,,85.3125,
68,,84.0625,
69,,84.6875,
70,,84.0625,
71,,86.25,
72,,73.75,
73,,76.25,
74,,63.75,
75,,68.75,
76,,72.1875,
77,,63.75,
78,,72.1875,
79,,71.25,
80,,81.5625,
81,,75.0,
82,,84.6875,
83,,81.5625,
84,,79.375,
85,,81.875,
86,,79.0625,
87,,75.625,
88,,82.8125,
0,,,7.8125
1,,,14.140625
2,,,20.390625
3,,,24.140625
4,,,28.203125
5,,,30.703125
6,,,35.3125
7,,,39.0625
8,,,43.125
9,,,45.625
10,,,47.578125
11,,,49.84375
12,,,52.265625
13,,,53.046875
14,,,52.578125
15,,,56.484375
16,,,58.90625
17,,,59.375
18,,,59.609375
19,,,61.015625
20,,,61.953125
21,,,64.140625
22,,,65.546875
23,,,66.875
24,,,68.125
25,,,68.90625
26,,,69.453125
27,,,70.703125
28,,,73.125
29,,,72.34375
30,,,72.65625
31,,,72.734375
32,,,75.46875
33,,,74.140625
34,,,76.328125
35,,,77.5
36,,,80.546875
37,,,78.125
38,,,77.34375
39,,,80.390625
40,,,85.0
41,,,85.3125
42,,,85.078125
43,,,84.53125
44,,,86.328125
45,,,86.40625
46,,,85.3125
47,,,86.171875
48,,,86.25
49,,,86.09375
50,,,87.421875
51,,,86.09375
52,,,90.703125
53,,,90.625
54,,,89.375
55,,,91.71875
56,,,90.15625
57,,,91.875
58,,,91.5625
59,,,92.734375
60,,,91.5625
61,,,91.953125
62,,,92.8125
63,,,92.890625
64,,,92.421875
65,,,93.046875
66,,,93.515625
67,,,92.8125
68,,,93.046875
69,,,93.828125
70,,,93.90625
71,,,93.984375
72,,,83.59375
73,,,87.421875
74,,,88.28125
75,,,87.421875
76,,,88.90625
77,,,87.1875
78,,,88.203125
79,,,90.3125
80,,,91.640625
81,,,93.203125
82,,,93.28125
83,,,93.046875
84,,,93.671875
85,,,94.765625
86,,,94.6875
87,,,92.578125
88,,,94.53125
